id	fieldname	score	t_begin	t_end	details	dir
1035.12	id1035_gearS12	8.1	1600	1770	Arteon-id35-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\35_sync.mat
1035.23	id1035_gearS23	8.6	2150	2350	Arteon-id35-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\35_sync.mat
1036.12	id1036_gearS12	7.9	575	750	Arteon-id36-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\36_sync.mat
1036.23	id1036_gearS23	8.4	910	1120	Arteon-id36-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\36_sync.mat
1036.34	id1036_gearS34	8.5	1405	1620	Arteon-id36-gearS34	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\36_sync.mat
1038.12	id1038_gearS12	7.1	3000	3180	Arteon-id38-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\38_sync.mat
1038.23	id1038_gearS23	7.6	3375	3550	Arteon-id38-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\38_sync.mat
1039.12	id1039_gearS12	7.1	4950	5120	Arteon-id39-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\39_sync.mat
1039.23	id1039_gearS23	7.2	5330	5510	Arteon-id39-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\39_sync.mat
1040.12	id1040_gearS12	8.0	5930	6120	Arteon-id40-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\40_sync.mat
1041.12	id1041_gearS12	8.0	5920	6140	Arteon-id41-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\41_sync.mat
1041.23	id1041_gearS23	7.8	6365	6520	Arteon-id41-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\41_sync.mat
1042.12	id1042_gearS12	7.5	1190	1350	Arteon-id42-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\42_sync.mat
1042.23	id1042_gearS23	7.6	1630	1800	Arteon-id42-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\42_sync.mat
1044.12	id1044_gearS12	5.8	1140	1320	Arteon-id44-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\44_sync.mat
1044.23	id1044_gearS23	7.6	1540	1700	Arteon-id44-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\44_sync.mat
1045.12	id1045_gearS12	8.0	7417	7582	Arteon-id45-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\45_sync.mat
1045.23	id1045_gearS23	8.7	7977	8202	Arteon-id45-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\45_sync.mat
1045.34	id1045_gearS34	9.1	8952	9172	Arteon-id45-gearS34	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\45_sync.mat
1046.12	id1046_gearS12	7.4	4092	4272	Arteon-id46-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\46_sync.mat
1046.23	id1046_gearS23	8.3	4312	4532	Arteon-id46-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\46_sync.mat
1048.12	id1048_gearS12	7.1	3796	3976	Arteon-id48-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\48_sync.mat
1048.23	id1048_gearS23	7.5	4142	4311	Arteon-id48-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\48_sync.mat
1049.12	id1049_gearS12	7.0	3450	3630	Arteon-id49-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\49_sync.mat
1049.23	id1049_gearS23	7.5	3805	3990	Arteon-id49-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_09.04.2018_dry\Syncdaten\49_sync.mat
1050.12	id1050_gearS12	7.9	6360	6540	Arteon-id50-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\50_sync.mat
1050.23	id1050_gearS23	8.1	7365	7570	Arteon-id50-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\50_sync.mat
1051.12	id1051_gearS12	7.8	5025	5235	Arteon-id51-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\51_sync.mat
1051.23	id1051_gearS23	7.8	5420	5580	Arteon-id51-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\51_sync.mat
1052.12	id1052_gearS12	7.6	3152	3332	Arteon-id52-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\52_sync.mat
1052.23	id1052_gearS23	7.5	3527	3682	Arteon-id52-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\52_sync.mat
1053.12	id1053_gearS12	4.9	3425	3640	Arteon-id53-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\53_sync.mat
1053.23	id1053_gearS23	8.1	3840	3995	Arteon-id53-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\53_sync.mat
1054.12	id1054_gearS12	5.7	2377	2527	Arteon-id54-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\54_sync.mat
1054.23	id1054_gearS23	7.5	2752	2907	Arteon-id54-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_11.04.18_wet\Syncdaten\54_sync.mat
10143.12	id10143_gearS12	8.2	3393	3578	Arteon-id143-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_25.04.18_dry\Syncdaten\143_sync.mat
10143.23	id10143_gearS23	8.0	7123	7258	Arteon-id143-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_25.04.18_dry\Syncdaten\143_sync.mat
101441.12	id101441_gearS12	8.2	853	1058	Arteon-id1441-gearS12	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_16.01.18\Syncdaten\144-1_sync.mat
101441.23	id101441_gearS23	8.1	1238	1453	Arteon-id1441-gearS23	D:\MA\Daten\Messdaten\Messdaten_Arteon\Testdaten_16.01.18\Syncdaten\144-1_sync.mat
